type seed time
mara   1        0.007013
mara   2        0.010863
mara   3        0.007090
mara   4        0.011270
mara   5        0.006387
mara   6        0.010670
mara   7        0.007208
mara   8        0.011044
mara   9        0.006467
mara   10        0.010936
mara   11        0.006172
mara   12        0.006536
mara   13        0.006571
mara   14        0.005985
mara   15        0.007162
mara   16        0.006351
mara   17        0.006125
mara   18        0.006032
mara   19        0.011040
mara   20        0.008087
malloc 1 0.016788
malloc 2 0.012508
malloc 3 0.017676
malloc 4 0.011050
malloc 5 0.016770
malloc 6 0.018800
malloc 7 0.011149
malloc 8 0.017921
malloc 9 0.010830
malloc 10 0.016526
malloc 11 0.014323
malloc 12 0.015324
malloc 13 0.011393
malloc 14 0.015786
malloc 15 0.014869
malloc 16 0.011380
malloc 17 0.012947
malloc 18 0.012083
malloc 19 0.014076
malloc 20 0.014719
